iter	Passed	Remaining
1282	15151	102944
1283	15164	102936
1284	15175	102920
1285	15186	102903
1286	15197	102887
1287	15209	102876
1288	15221	102865
1289	15232	102849
1290	15244	102836
1291	15255	102823
1292	15267	102808
1293	15279	102799
1294	15291	102786
1295	15303	102777
1296	15314	102765
1297	15326	102750
1298	15338	102740
1299	15349	102726
1300	15361	102713
1301	15372	102697
1302	15384	102682
1303	15395	102665
1304	15405	102647
1305	15417	102634
1306	15429	102620
1307	15441	102609
1308	15452	102593
1309	15463	102579
1310	15475	102567
1311	15486	102552
1312	15497	102536
1313	15508	102515
1314	15520	102503
1315	15531	102488
1316	15543	102476
1317	15554	102463
1318	15565	102445
1319	15577	102436
1320	15589	102421
1321	15600	102409
1322	15612	102396
1323	15623	102380
1324	15634	102362
1325	15645	102344
1326	15655	102324
1327	15667	102312
1328	15678	102294
1329	15690	102281
1330	15702	102270
1331	15713	102257
1332	15725	102242
1333	15736	102225
1334	15747	102213
1335	15759	102203
1336	15771	102190
1337	15783	102182
1338	15794	102165
1339	15806	102150
1340	15818	102140
1341	15830	102130
1342	15842	102120
1343	15854	102111
1344	15866	102099
1345	15877	102085
1346	15889	102073
1347	15900	102057
1348	15912	102042
1349	15924	102036
1350	15937	102028
1351	15948	102015
1352	15960	102002
1353	15972	101990
1354	15984	101979
1355	15996	101971
1356	16007	101957
1357	16019	101947
1358	16032	101940
1359	16044	101927
1360	16056	101916
1361	16068	101910
1362	16079	101891
1363	16090	101876
1364	16102	101862
1365	16113	101849
1366	16125	101834
1367	16136	101819
1368	16147	101803
1369	16158	101785
1370	16170	101775
1371	16181	101762
1372	16193	101750
1373	16205	101739
1374	16217	101729
1375	16229	101720
1376	16241	101708
1377	16253	101697
1378	16264	101682
1379	16276	101669
1380	16289	101662
1381	16300	101648
1382	16311	101633
1383	16324	101624
1384	16335	101608
1385	16346	101595
1386	16359	101590
1387	16370	101575
1388	16381	101556
1389	16393	101547
1390	16405	101535
1391	16417	101524
1392	16428	101504
1393	16440	101497
1394	16452	101484
1395	16463	101469
1396	16474	101453
1397	16485	101437
1398	16497	101425
1399	16508	101411
1400	16519	101394
1401	16531	101381
1402	16542	101366
1403	16554	101352
1404	16566	101341
1405	16577	101329
1406	16588	101311
1407	16599	101294
1408	16610	101281
1409	16622	101267
1410	16634	101254
1411	16645	101242
1412	16657	101227
1413	16668	101212
1414	16679	101198
1415	16691	101186
1416	16702	101170
1417	16713	101154
1418	16724	101138
1419	16736	101126
1420	16749	101119
1421	16760	101104
1422	16772	101092
1423	16784	101084
1424	16795	101070
1425	16806	101052
1426	16818	101037
1427	16829	101023
1428	16842	101017
1429	16853	101005
1430	16866	100996
1431	16877	100979
1432	16888	100964
1433	16900	100956
1434	16912	100941
1435	16923	100930
1436	16935	100917
1437	16946	100902
1438	16958	100888
1439	16969	100874
1440	16980	100860
1441	16991	100842
1442	17003	100829
1443	17014	100815
1444	17026	100801
1445	17037	100786
1446	17048	100770
1447	17060	100760
1448	17071	100746
1449	17083	100734
1450	17095	100726
1451	17107	100713
1452	17119	100700
1453	17130	100687
1454	17141	100669
1455	17153	100658
1456	17164	100641
1457	17174	100621
1458	17185	100606
1459	17197	100596
1460	17209	100585
1461	17221	100571
1462	17232	100558
1463	17244	100545
1464	17256	100534
1465	17268	100526
1466	17280	100513
1467	17292	100504
1468	17304	100494
1469	17316	100485
1470	17328	100472
1471	17340	100463
1472	17352	100451
1473	17365	100444
1474	17377	100435
1475	17390	100430
1476	17401	100417
1477	17413	100403
1478	17424	100389
1479	17436	100375
1480	17447	100360
1481	17458	100347
